no,datetime,S,style,K,topic,L,lang,filename,quote,fact,source
1,2026-07-29 10:58,18,复古CRT终端绿字,8,音乐与声音,7,法文,2026-07/NO.0001_2026-07-29_S18-CRT终端绿字_FR.png,"Ce que tu murmures aujourd'hui sans être entendu peut attendre son siècle. Le silence n'est pas l'oubli — parfois, c'est un simple retard.",1860年 Édouard-Léon Scott de Martinville 用 phonautographe 把《Au clair de la lune》刻在烟熏纸上，比爱迪生早17年，但机器不能回放，直到2008年扫描墨痕才第一次被听见。,https://www.firstsounds.org/sounds/scott.php
2,2026-07-29 11:05,19,8-bit像素游戏,9,昆虫与植物,1,简体中文,2026-07/NO.0002_2026-07-29_S19-8bit像素游戏_ZH.png,这一关卡了很久，不是你太弱，是这关本来就长。,桑树雄花把花丝当弹弓：花药开裂瞬间丝尖速度超过音速的一半（约每秒200米），是植物界已知最快的动作。,https://www.science.org/content/article/mulberry-flowers-fastest-plant-earth
3,2026-07-29 20:05,42,3D多層紙雕浮雕,1,天文與宇宙,3,繁體中文（香港）,2026-07/NO.0003_2026-07-29_S42-多層紙雕_ZH-HK.png,有些光，要等到光源熄滅之後，才第一次照亮別人。,2007年荷蘭女教師 Hanny van Arkel 在 Galaxy Zoo 發現星系 IC 2497 旁的綠色雲氣 Hanny’s Voorwerp，證實為類星體電離回聲——該類星體早在數萬年前熄滅，雲氣仍反射其最後的光。,https://en.wikipedia.org/wiki/Hanny%27s_Voorwerp
4,2026-07-30 00:09,44,3D液态金属流体,5,数学与数字,7,意大利文,2026-07/NO.0004_2026-07-30_S44-液态金属流体_IT.png,Persino il nome di una cosa può essere uno sbaglio che nessuno ha più voglia di correggere.（连一样东西的名字，都可能是个再没人愿意去纠正的错误。）,圆周率小数点后第762位起连续出现六个9，被称为「费曼点」，但没有证据表明费曼说过这个玩笑，已知最早出处是侯世达1985年的《Metamagical Themas》。,https://en.wikipedia.org/wiki/Six_nines_in_pi
5,2026-07-30 05:09,37,苏联构成主义海报,10,地理与地质,5,英文,2026-07/NO.0005_2026-07-30_S37-构成主义海报_EN.png,Not everything that holds you up was ever meant to be seen.（并非所有支撑着你的东西，都注定要被看见。）,1958年苏联第三次南极考察队用地震波测冰厚，意外发现东南极冰下埋着一条长约1200公里、峰高近2700米、被最厚达4公里冰层覆盖的山脉（甘布尔采夫山脉），以1955年已去世的苏联地震学家甘布尔采夫命名，至今无人亲眼见过。,https://en.wikipedia.org/wiki/Gamburtsev_Mountain_Range
6,2026-07-30 10:09,45,3D霓虹發光管,15,心理學與認知,3,繁體中文（香港）,2026-07/NO.0006_2026-07-30_S45-霓虹發光管_ZH-HK.png,你以為停下的那一秒，其實是大腦替你補上的空白。不是所有靜止，都叫做停滯。,快速轉眼望向秒針會覺得它停了一拍，即「時間靜止錯覺」chronostasis。2001年 Yarrow 等人在《Nature》證實：眼球掃視後人會把第一眼所見時長高估約120毫秒，掃視幅度愈大（55度）誤差可達190毫秒。,https://en.wikipedia.org/wiki/Chronostasis
7,2026-07-30 15:09,38,3D等距立体插画（isometric）,3,海洋生物,1,简体中文,2026-07/NO.0007_2026-07-30_S38-等距立体插画_ZH.png,你完整的样子，可能只是从没被人在合适的深度看见过。,桶眼鱼（Macropinna microstoma）1939年就被命名，但拖网总会弄破它头顶那层透明穹顶；直到2004年MBARI遥控潜水器在约744米深处拍到活体，人们才第一次看见完整的它——那两颗绿色球体是能在透明脑壳里从朝上转到朝前的眼睛。相隔65年。,https://www.mbari.org/news/researchers-solve-mystery-of-deep-sea-fish-with-tubular-eyes-and-transparent-head/
8,2026-07-31 15:14,5,中国水墨写意留白,10,地理与地质,4,粤语口语,2026-07/NO.0008_2026-07-31_S5-水墨寫意留白_YUE.png,壓落嚟嗰陣好快，彈返上嚟要成萬年。慢，唔等於冇郁過。,哈德遜灣一帶嘅重力比周圍細，喺嗰度磅重會輕咗少少。2007年 Tamisiea、Mitrovica、Davis 喺《Science》用 GRACE 衛星2002–2006年數據計過：末次冰期壓落嚟嘅勞倫泰德冰蓋只解釋到當中約25%至45%，餘下要賴地幔深處嘅對流。,https://www.science.org/doi/abs/10.1126/science.1137157
9,2026-07-31 20:14,27,极光渐变梦幻,15,心理学与认知,2,繁體中文（台灣）,2026-07/NO.0009_2026-07-31_S27-極光漸變_ZH-TW.png,你看見的顏色，一半來自光，一半來自你曾經凝視過的東西。,1965年心理學家 Celeste McCollough 發現：盯著紅色直條紋與綠色橫條紋交替看幾分鐘，之後再看純黑白條紋，直的會泛綠、橫的會泛紅。這個「麥科洛效應」一旦形成可持續數天甚至數週。,
10,2026-08-01 00:16,5,中国水墨写意留白,2,语言与文字,6,日文,2026-08/NO.0010_2026-08-01_S5-水墨写意_JA.png,まちがいは、だれかが気づくまで、正しさの顔をしている。,1934年版ウェブスター新国際辞典に存在しない語「dord（密度）」が載っていた。化学編集者の「D or d = density」という紙片を一語と読み違えたため。この幽霊語は1947年まで辞書に住んでいた。,
